Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+All,0.013219,0.00819,1.013306757,0.99717061,1.029704,0.01582,0.070972,1.001583252,0.987747173,1.015613,-0.000478,0.000989,0.993900279,0.96954302,1.018869,0.00084,0.001019,1.005474933,0.99250616,1.018613
Age 60+ Female,0.013908,0.008611,1.014005166,0.997034845,1.031264,0.00435,0.074541,1.000435095,0.985924957,1.015159,0.000275,0.001043,1.003526202,0.977607729,1.030132,0.00097,0.001071,1.006324918,0.992687329,1.02015
Age 60+ Male,0.012188,0.009233,1.012262576,0.994108742,1.030748,0.033367,0.080144,1.003342273,0.987704689,1.019227,-0.001602,0.001109,0.97970321,0.952821028,1.007344,0.000647,0.001151,1.004214356,0.989596257,1.019048
All: LAG 3,0.002111,0.006031,1.00211323,0.990337228,1.014029,-0.009205,0.052426,0.999079924,0.988866446,1.009399,-0.000564,0.000725,0.992806796,0.974912067,1.01103,0.000309,0.000758,1.002010518,0.992380755,1.011734
Female,0.005951,0.006575,1.005968742,0.993087999,1.019017,0.013604,0.056955,1.001361326,0.990245111,1.012602,-0.000367,0.000791,0.995313416,0.975756503,1.015262,0.000809,0.000825,1.00527235,0.994761768,1.015894
Male,-0.002964,0.00661,0.997040388,0.984206447,1.010042,-0.039753,0.057738,0.996032591,0.98482438,1.007368,-0.000825,0.000793,0.989495561,0.970004291,1.009378,-0.000351,0.000832,0.997721101,0.987201427,1.008353
Warm All,0.008938,0.0051,1.008978063,0.998942559,1.019114,0.088216,0.058417,1.008860625,0.997375319,1.020478,0.001807,0.000598,1.023399163,1.00816009,1.038869,0.001072,0.000719,1.006992333,0.997810341,1.016259
Warm Female,0.015275,0.005691,1.015392259,1.004129142,1.026782,0.128038,0.064949,1.01288612,1.000073799,1.025863,0.002325,0.000667,1.030207255,1.013111516,1.047591,0.002165,0.000801,1.014171984,1.003875249,1.024574
Warm Male,0.000601,0.005662,1.000601181,0.989558376,1.011767,0.035123,0.065203,1.003518475,0.990775323,1.016426,0.001127,0.000664,1.014530151,0.997769659,1.031572,-0.000358,0.000798,0.997675705,0.9875842,1.00787
Cold All,-0.009198,0.007169,0.990844172,0.977018941,1.004865,-0.057897,0.049431,0.994227028,0.984640995,1.003906,-0.004513,0.000901,0.94387041,0.922774222,0.965449,-0.000323,0.000798,0.997902702,0.987808901,1.0081
Cold Female,-0.009134,0.007679,0.990907588,0.97610527,1.005934,-0.046183,0.052833,0.995392348,0.985137978,1.005753,-0.004704,0.000968,0.941565654,0.918974978,0.964712,-0.000385,0.000854,0.997500629,0.986706687,1.008413
Cold Male,-0.009293,0.007798,0.990750046,0.975722477,1.006009,-0.073753,0.053921,0.992651831,0.982216216,1.003198,-0.004262,0.000977,0.946907753,0.923980256,0.970404,-0.000243,0.000869,0.998421747,0.987429122,1.009537
